name,length
Bumble Bee Circle,371.03
Bumble Bee Circle,275.59000000000003
Maple Avenue,33.949
Bunker Hill Road,59.286
Old Mill Road,80.674
Old Mill Road,378.32800000000003
Lakewood Drive,93.913
Ridgeland Road,117.53599999999999
Plainfield Avenue,66.74
Greenwood Avenue,152.887
Greenwood Avenue,74.837
Seneca Street,246.523
East Lake Road,201.05100000000002
Hapgood Way,31.097
Hapgood Way,739.434
Westport Drive,295.35699999999997
Bruce Avenue,362.69399999999996
Main Street,130.464
Main Street,117.96000000000001
May Street,126.331
Crescent Street,44.853
Crescent Street,64.085
Saybrook Road,316.738
Main Street,81.78
Main Street,29.805
Stoney Hill Road,117.577
Stoney Hill Road,256.096
Pheasant Hill Drive,231.883
Spring Street,212.318
Spring Street,113.838
,74.89500000000001
,124.93299999999999
,83.671
Commons Drive,21.421
Commons Drive,47.22
Beverly Road,89.634
,15.325
,41.973
,103.214
Shannon Drive,160.684
Cedar Road,135.503
Cedar Road,182.048
Egret Circle,122.66499999999999
View Street,163.593
Van Ness Avenue,95.245
Van Ness Avenue,92.92999999999999
Woodland Road,91.688
Woodland Road,117.353
Willow Street,160.58800000000002
Pond Avenue,105.128
Clinton Street,58.166
Clinton Street,89.59200000000001
Colonial Drive,157.845
Colonial Drive,159.765
Coachman Ridge Road,207.911
Elm Street,126.424
Elm Street,54.643
Elm Street,50.906
Sewell Street,603.185
Sewell Street,93.11599999999999
Candlewood Way,290.86000000000007
Baldwin Circle,202.62699999999998
Pinedale Road,296.949
South Quinsigamond Avenue,73.114
South Quinsigamond Avenue,93.11700000000002
East Lake Road,201.05099999999996
Chartwell Circle,206.05999999999997
Whitehall Circle,183.33200000000002
Whitehall Circle,144.066
Hill Street,656.947
Prospect Street,60.94500000000001
Prospect Street,187.39
Concord Road,292.706
Bunker Hill Road,276.846
Bunker Hill Road,96.47
Edgewater Avenue,38.122
Lakewood Drive,93.913
"['Hancock Street', 'Lakewood Drive']",546.9570000000001
Camelot Drive,313.03
Camelot Drive,106.547
Oak Street,52.216
Heronwood Drive,172.253
Oak Street,88.178
Nightingale Drive,265.158
Clinton Street,49.437
Clinton Street,58.166
Ira Avenue,122.10600000000001
Chamberlain Road,68.782
