gid,phasedesig,servicetyp,subtype,geometry
24078,,OH,Secondary,"LINESTRING (603694.6739164343 2928036.5201999154, 603569.3564874125 2928037.07415525)"
24079,,OH,Secondary,"LINESTRING (603694.6739164343 2928036.5201999154, 603817.2843051541 2928033.529993825)"
22588,,UG,Primary,"LINESTRING (600047.1906116637 2926791.708111382, 600054.8621900576 2926807.1918273433, 600403.5245456141 2926903.571331931)"
22592,,UG,Primary,"LINESTRING (600032.851876825 2926783.106722758, 599975.9159685655 2926920.190287506, 599965.8377275238 2926991.3487772844, 599996.9886543794 2927091.5203852123, 600017.1879838377 2927108.2262892467)"
22596,,UG,Primary,"LINESTRING (600265.1017730022 2927432.1084073307, 600366.9822611014 2927360.578880897, 600446.6919857026 2927363.32749209, 600588.8963772033 2927418.4202810437)"
22616,,UG,Primary,"LINESTRING (599869.5546295318 2927562.4779336867, 600087.8573731765 2927808.275904786)"
6,1,UG,Primary,"LINESTRING (592661.0452926535 2929642.4975001737, 592734.3284627979 2929669.2317053024)"
7,1,UG,Primary,"LINESTRING (592468.2744941605 2929566.2832216835, 592661.0452926535 2929642.4975001737)"
8,1,UG,Primary,"LINESTRING (592357.0492002552 2929439.964085232, 592392.5714533181 2929507.329712037, 592453.3434549161 2929557.372267423)"
9,1,UG,Primary,"LINESTRING (592357.8726565188 2929298.5756275402, 592347.5536675416 2929308.437151236, 592344.2887730214 2929329.898539841)"
3766,,UG,Secondary,"LINESTRING (589017.136880964 2924492.226324022, 588954.2460374758 2924494.2445040494)"
14,1,UG,Primary,"LINESTRING (591967.120345307 2929009.1088751596, 591971.5000878245 2929022.7152225613, 591950.9655171457 2929080.97206611, 591946.422207216 2929229.897780366, 591940.8861388938 2929231.0714135007)"
15,1,UG,Primary,"LINESTRING (592344.2887730214 2929329.898539841, 592357.0492002552 2929439.964085232)"
16,1,UG,Primary,"LINESTRING (592453.3434549161 2929557.372267423, 592458.6289190552 2929555.350399312, 592464.0704878246 2929553.796883572, 592468.1081517636 2929552.967130773)"
17,1,UG,Primary,"LINESTRING (592344.2831488638 2929288.9317701627, 592357.8726565188 2929298.5756275402)"
18,1,UG,Primary,"LINESTRING (592364.26 2928828.542208415, 592324.1598680279 2928919.070912386, 592307.0728826037 2929002.5179251935)"
19,1,UG,Primary,"LINESTRING (592324.88 2929123.05, 592344.2831488638 2929288.9317701627)"
20,1,UG,Primary,"LINESTRING (592307.0728826037 2929002.5179251935, 592324.88 2929123.05)"
21,1,OH,Primary,"LINESTRING (591411.8775571834 2926930.2081699376, 591408.939772784 2926933.971203528)"
23,1,OH,Primary,"LINESTRING (587335.4800000009 2927202.990000003, 587338.3078593003 2927199.1436756826)"
24,1,OH,Primary,"LINESTRING (587718.1000000007 2926491.3499999917, 587720.7166650827 2926493.2602637736)"
26,3,OH,Primary,"LINESTRING (587989.9645483019 2925484.466257418, 587994.252649321 2925486.5646350365)"
29,3,OH,Primary,"LINESTRING (587805.0000000001 2925732.11, 587851.3945292255 2925718.3938426822)"
30,3,OH,Primary,"LINESTRING (587534.5358104564 2928308.3734219335, 587524.0622877411 2928430.384330194, 587513.297961975 2928537.377980358)"
32,1,OH,Primary,"LINESTRING (588895.4342004684 2926890.13, 588891.1682275753 2926887.9394827834)"
37,1,OH,Primary,"LINESTRING (588008.56 2927071.51, 588013.3194191954 2927071.137269667)"
38,1,OH,Primary,"LINESTRING (587937.56 2926952.99, 588008.56 2927071.51)"
41,1,OH,Primary,"LINESTRING (587627.0900000001 2927585.569999999, 587631.3713490015 2927587.6821197183)"
42,1,OH,Primary,"LINESTRING (587673.84 2926640.37, 587676.125572336 2926642.6661278135)"
43,3,OH,Primary,"LINESTRING (587647.13 2925981.119999999, 587651.2983834518 2925983.447139527)"
49,1,OH,Primary,"LINESTRING (591454.9399999998 2926839.159999999, 591458.7351507639 2926842.0561750047)"
51,1,OH,Primary,"LINESTRING (588230.8499999999 2926268.87, 588232.7626555196 2926264.4959003394)"
99,1,UG,Primary,"LINESTRING (591537.6812286201 2927870.385018663, 591537.6812286201 2927870.385018663, 591491.4471426718 2928062.173359791, 591546.5733566685 2928121.3207263476)"
121,3,OH,Primary,"LINESTRING (587559.16 2928066.4799999995, 587546.64 2928187.6299999994, 587534.5358104546 2928308.3734219265)"
122,3,OH,Primary,"LINESTRING (591420.35 2927179.9499999993, 591395.0799999998 2927276.3599999994, 591395.0799999998 2927276.3599999994)"
124,3,OH,Primary,"LINESTRING (587723.7899999999 2926310.9899999993, 587722.7700000001 2926404.1700000004, 587718.1 2926491.3500000006)"
125,1,OH,Primary,"LINESTRING (587471.54 2926491.9399999995, 587383.31 2926564.107803579, 587382.4856958372 2926560.974663543)"
126,3,OH,Primary,"LINESTRING (588985.4799999999 2926380.76, 588845.3099999999 2926359.76, 588745.22 2926344.9799999995)"
127,1,OH,Primary,"LINESTRING (588985.4799999999 2926380.76, 588923.85 2926493.0299999993, 588934.8774216165 2926640.235523455)"
128,1,OH,Primary,"LINESTRING (588934.8774216165 2926640.235523455, 588909.118329362 2926803.1272797114, 588895.4342004684 2926890.13)"
131,1,OH,Primary,"LINESTRING (589518.7912406644 2926657.0282519762, 589485.9777324281 2926798.1155252443, 589525.66 2926926.2209456433, 589670.86 2926953.1099999994)"
133,3,OH,Primary,"LINESTRING (590585.05 2927968.64, 590583.6890182851 2927971.530461166)"
134,3,OH,Primary,"LINESTRING (591149.0099999999 2927786.5399999996, 591042.23 2927792.87, 590939.7799999999 2927800.59, 590844.0599999999 2927820.9399999995, 590760.43 2927843.4000000004, 590637.7399999995 2927874.8599999994)"
136,3,OH,Primary,"LINESTRING (587805 2925732.1099999994, 587820.2799999999 2925653.09, 587839.4354002926 2925522.9730813443, 587753.8176282386 2925554.458375064)"
138,3,OH,Primary,"LINESTRING (587851.3945914352 2925718.393860908, 587925.8749982865 2925654.632363984, 587969.2403893848 2925591.7731540594, 587989.9645483019 2925484.466257418)"
139,3,OH,Primary,"LINESTRING (587989.9645483019 2925484.466257418, 588008.4796302128 2925309.1139898463, 588012.9093950929 2925310.8905316778, 588012.9105696396 2925310.891002726)"
140,3,OH,Primary,"LINESTRING (587630.64 2927003.97, 587635.9299999999 2927118.3500000006, 587635.9576977297 2927119.2356608314)"
141,3,OH,Primary,"LINESTRING (587639.6699999999 2927237.939999999, 587643.0899999999 2927351.12, 587641.7299999999 2927465.68, 587627.0900000001 2927585.569999999)"
142,3,OH,Primary,"LINESTRING (587627.0900000001 2927585.569999999, 587609.0999999999 2927718.3299999996, 587590.4999999999 2927848.3, 587574.7500000001 2927959.21, 587559.16 2928066.4799999995)"
143,3,OH,Primary,"LINESTRING (587628.9099999999 2926873.729999999, 587751.41 2926905.42, 587844.49 2926929.49)"
146,1,OH,Primary,"LINESTRING (590117.7228963062 2926966.80857152, 590152.86 2926822.01, 590174.35 2926724.45)"
147,1,OH,Primary,"LINESTRING (590174.35 2926724.45, 590200.1278675802 2926616.0732525014, 590196.1948195242 2926613.3673086795)"
148,3,OH,Primary,"LINESTRING (591329.3200000002 2927509.6999999993, 591296.8899999999 2927626.64, 591231.2799999999 2927771.8499999996)"
149,1,OH,Primary,"LINESTRING (590531.8899999999 2927072.3599999994, 590506.11 2926953, 590485.42 2926857)"
150,1,OH,Primary,"LINESTRING (590485.42 2926857, 590460.91 2926740.43, 590435.04 2926619.7299999995)"
151,3,OH,Primary,"LINESTRING (591069.9499999998 2926806.8999999994, 591176.8699999999 2926844.7999999993, 591267.7799999999 2926877.75, 591411.8775571834 2926930.2081699376)"
152,3,OH,Primary,"LINESTRING (590866.9199999998 2926735.0299999993, 590936.5782502545 2926759.749884084, 591069.9499999998 2926806.8999999994)"
153,3,OH,Primary,"LINESTRING (590513.4299999997 2926479.869999999, 590553.2099999998 2926621.9999999995, 590654.21 2926659.4199999995, 590745.0104287246 2926692.970092559, 590866.9199999998 2926735.0299999993)"
154,3,OH,Primary,"LINESTRING (590426.7100000001 2926295.68, 590476.5299999999 2926358.92, 590513.4299999997 2926479.869999999)"
155,3,OH,Primary,"LINESTRING (591454.9399999998 2926839.159999999, 591479.18 2926735.2799999993, 591497.98 2926649.74)"
156,3,OH,Primary,"LINESTRING (591497.98 2926649.74, 591517.31 2926561.2, 591476.04 2926493.46, 591418.6093525458 2926404.3742647143)"
157,1,OH,Primary,"LINESTRING (589905.0444943482 2926908.15, 589930.46 2926794.16, 589951.43 2926704.51, 589979.15 2926590.3199999994, 590004.84 2926484.55, 590026.95 2926384.33, 590024.6578666155 2926382.040421789)"
160,1,OH,Primary,"LINESTRING (589639.83 2927083.79, 589614.56 2927192.3599999994, 589583.2144150223 2927320.123211092, 589554.03 2927461.7700000005)"
161,1,OH,Primary,"LINESTRING (590604.82 2927387.08, 590584.81 2927309.9799999995, 590555.59 2927186.3100000005)"
